Time,ToA_mean,ToA_std,Amplitude
114.0625,160.6,3.577708763999665,1555
115.625,95.0,0.0,1555
117.1875,29.4,3.577708763999664,1555
118.75,999.0,0.0,1555
121.875,863.0,0.0,1555
179.6875,782.4,6.693280212272592,1555
181.25,715.2,9.121403400793113,1555
182.8125,646.4,6.693280212272601,1555
184.375,584.0,5.656854249492381,1555
185.9375,528.0,7.999999999999986,1555
187.5,456.0,5.656854249492382,1555
189.0625,422.4,17.34358671094304,1555
190.625,347.2,18.417383093154136,1555
192.1875,278.4,3.577708763999657,1555
193.75,212.8,9.121403400793104,1555
196.875,75.2,9.121403400793104,1555
101.5625,679.0,0.0,1765
103.125,613.4,3.577708763999657,1765
104.6875,543.0,0.0,1765
106.25,495.0,0.0,1765
107.8125,423.0,0.0,1765
109.375,359.0,0.0,1765
110.9375,287.0,0.0,1765
112.5,239.0,0.0,1765
114.0625,167.0,0.0,1765
115.625,103.0,0.0,1765
117.1875,31.0,0.0,1765
118.75,1005.4,3.577708763999657,1765
121.875,871.0,0.0,1765
187.5,800.0,,1765
189.0625,760.0,0.0,1765
190.625,680.0,11.313708498984765,1765
192.1875,617.6,13.14534138012399,1765
193.75,540.8,4.3817804600413215,1765
196.875,419.2,4.381780460041334,1765
101.5625,448.2,1.3038404810405309,1975
103.125,380.5,0.577350269189634,1975
104.6875,313.8,0.836660026534073,1975
106.25,258.75,0.5000000000000047,1975
107.8125,191.0,1.224744871391592,1975
