Time,ToA_mean,ToA_std,Amplitude
112.5,523.6,0.8944271909999183,450
114.0625,467.4,6.503845016603634,450
115.625,399.8,0.8366600265340772,450
117.1875,333.0,0.0,450
118.75,267.6,1.5165750888103162,450
121.875,145.25,0.9574271077563369,450
101.5625,953.8,1.0954451150103368,925
103.125,887.0,1.224744871391589,925
104.6875,820.75,0.5,925
106.25,763.8,0.8366600265340688,925
107.8125,698.0,0.7071067811865526,925
109.375,631.8,0.8366600265340688,925
110.9375,564.6,0.5477225575051765,925
112.5,508.0,1.224744871391592,925
114.0625,440.4,0.8944271909999103,925
115.625,375.0,1.224744871391589,925
117.1875,309.2,0.4472135954999611,925
118.75,251.2,1.3038404810405295,925
121.875,120.25,0.9574271077563388,925
101.5625,679.0,0.0,1135
103.125,615.0,0.0,1135
104.6875,544.6,3.577708763999657,1135
106.25,487.0,0.0,1135
107.8125,423.0,0.0,1135
109.375,359.0,0.0,1135
110.9375,287.0,0.0,1135
112.5,233.0,4.0,1135
114.0625,167.0,0.0,1135
115.625,101.4,3.5777087639996643,1135
117.1875,31.0,0.0,1135
118.75,999.0,0.0,1135
121.875,871.0,0.0,1135
101.5625,679.0,0.0,1345
103.125,615.0,0.0,1345
104.6875,544.6,3.577708763999657,1345
106.25,487.0,0.0,1345
107.8125,423.0,0.0,1345
109.375,359.0,0.0,1345
110.9375,287.0,0.0,1345
112.5,231.0,0.0,1345
114.0625,167.0,0.0,1345
115.625,103.0,0.0,1345
117.1875,31.0,0.0,1345
118.75,999.0,0.0,1345
121.875,871.0,0.0,1345
101.5625,749.4,280.16120359535864,1450
103.125,682.4,280.61771148664155,1450
104.6875,616.2,280.43484091674486,1450
106.25,507.0,295.02655247734344,1450
107.8125,570.25,256.1671004116909,1450
109.375,426.0,280.25345671373975,1450
110.9375,436.25,256.1671004116909,1450
112.5,712.8,280.89268413399446,1450
114.0625,696.25,294.1613786115823,1450
115.625,630.75,295.3160736115346,1450
117.1875,513.6,281.07347793770936,1450
118.75,455.6,280.16120359535864,1450
121.875,325.4,279.88712010380186,1450
176.5625,850.0,4.242640687119285,1450
178.125,782.5,2.1213203435596424,1450
179.6875,727.0,8.48528137423857,1450
182.8125,587.0,,1450
184.375,398.25,259.52055153044563,1450
185.9375,730.5,361.3315651863258,1450
187.5,401.0,,1450
189.0625,619.0,281.21166405396485,1450
190.625,494.0,276.24083695210595,1450
192.1875,353.75,252.83377279680548,1450
193.75,149.33333333333334,11.372481406154657,1450
196.875,275.5,355.6747109368334,1450
101.5625,695.0,21.908902300206638,1555
103.125,615.0,0.0,1555
104.6875,551.0,0.0,1555
106.25,495.0,0.0,1555
107.8125,423.0,0.0,1555
109.375,359.0,0.0,1555
110.9375,295.0,0.0,1555
112.5,239.0,0.0,1555
114.0625,183.0,21.908902300206645,1555
115.625,103.0,0.0,1555
117.1875,39.0,0.0,1555
118.75,1007.0,0.0,1555
121.875,871.0,0.0,1555
178.125,784.0,6.531972647421797,1555
179.6875,731.2,17.527121840165307,1555
181.25,656.0,8.00000000000001,1555
182.8125,593.6,8.763560920082668,1555
184.375,531.2,4.381780460041314,1555
185.9375,480.0,24.0,1555
187.5,396.8,13.386560424545214,1555
189.0625,352.0,11.313708498984761,1555
190.625,288.0,5.656854249492382,1555
192.1875,222.4,13.14534138012399,1555
193.75,153.6,6.693280212272605,1555
196.875,24.0,11.313708498984761,1555
101.5625,719.0,0.0,1765
103.125,623.0,0.0,1765
104.6875,559.0,0.0,1765
106.25,495.0,0.0,1765
107.8125,463.0,0.0,1765
109.375,367.0,0.0,1765
110.9375,300.3333333333333,4.61880215351701,1765
112.5,245.4,3.577708763999663,1765
114.0625,207.0,0.0,1765
115.625,111.0,0.0,1765
117.1875,42.2,4.3817804600413295,1765
118.75,1010.2,4.381780460041328,1765
121.875,879.0,0.0,1765
187.5,748.8,4.381780460041334,1765
189.0625,696.0,5.65685424949237,1765
190.625,627.2,4.381780460041347,1765
192.1875,560.0,5.65685424949237,1765
193.75,499.2,4.381780460041334,1765
196.875,363.2,7.155417527999334,1765
101.5625,457.4,0.8944271909999183,1975
103.125,392.4,1.1401754250991367,1975
104.6875,323.5,2.3804761428476167,1975
106.25,260.25,0.4999999999999952,1975
107.8125,200.33333333333334,0.5773502691896278,1975
109.375,135.2,1.6431676725155029,1975
110.9375,68.0,1.4142135623730951,1975
112.5,3.6,0.5477225575051661,1975
114.0625,969.4,0.5477225575051765,1975
115.625,903.4,0.8944271909999063,1975
117.1875,836.8,0.4472135954999691,1975
118.75,771.5,0.5773502691896093,1975
121.875,648.25,1.7078251276599303,1975
193.75,478.0,4.847679857416329,1975
196.875,347.2,1.6431676725155013,1975
