Channel,Phase,ADC,TOT_10bit,TOT_12bit,ToA
4,13,220,0,0,0
4,14,214,0,0,0
4,15,0,0,0,0
4,0,221,0,0,0
4,1,221,0,0,0
4,2,218,0,0,0
4,3,221,0,0,0
4,4,215,0,0,0
4,5,225,0,0,0
4,6,217,0,0,0
4,7,236,0,0,0
4,8,266,0,0,0
4,9,324,0,0,0
4,10,277,0,0,0
4,11,494,0,0,0
4,12,69,0,0,0
4,13,24,0,0,0
4,14,715,0,0,0
4,15,0,0,0,0
4,0,768,0,0,0
4,1,768,0,0,0
4,2,217,0,0,0
4,3,697,0,0,0
4,4,645,0,0,0
4,5,95,0,0,0
4,6,225,0,0,0
4,7,512,0,0,0
4,8,473,0,0,0
4,9,304,0,0,0
4,10,405,0,0,0
4,11,377,0,0,0
4,12,356,0,0,0
4,13,344,0,0,0
4,14,320,0,0,0
4,15,0,0,0,0
4,0,309,0,0,0
4,1,307,0,0,0
4,2,265,0,0,0
4,3,263,0,0,0
4,4,287,0,0,0
4,5,256,0,0,0
4,6,555,0,0,0
4,7,281,0,0,0
4,8,282,0,0,0
4,9,274,0,0,0
4,10,274,0,0,0
4,11,268,0,0,0
4,12,267,0,0,0
4,13,268,0,0,0
4,14,262,0,0,0
4,15,0,0,0,0
4,0,264,0,0,0
4,1,257,0,0,0
4,2,261,0,0,0
4,3,255,0,0,0
4,4,255,0,0,0
4,5,263,0,0,0
4,6,281,0,0,0
4,7,255,0,0,0
4,8,255,0,0,0
4,9,253,0,0,0
4,10,255,0,0,0
4,11,252,0,0,0
4,12,253,0,0,0
4,13,255,0,0,0
4,14,249,0,0,0
4,15,0,0,0,0
4,0,252,0,0,0
4,1,255,0,0,0
4,2,249,0,0,0
4,3,249,0,0,0
4,4,248,0,0,0
4,5,254,0,0,0
4,6,255,0,0,0
4,7,248,0,0,0
4,8,250,0,0,0
4,9,247,0,0,0
4,10,245,0,0,0
4,11,243,0,0,0
4,12,245,0,0,0
4,13,247,0,0,0
4,14,240,0,0,0
4,15,0,0,0,0
4,0,244,0,0,0
4,1,245,0,0,0
4,2,244,0,0,0
4,3,244,0,0,0
4,4,239,0,0,0
4,5,246,0,0,0
4,6,248,0,0,0
4,7,241,0,0,0
4,8,240,0,0,0
4,9,241,0,0,0
4,10,239,0,0,0
4,11,238,0,0,0
4,12,239,0,0,0
4,13,244,0,0,0
4,14,233,0,0,0
4,15,0,0,0,0
4,0,239,0,0,0
4,1,241,0,0,0
4,2,238,0,0,0
4,3,237,0,0,0
4,4,237,0,0,0
4,5,239,0,0,0
4,6,240,0,0,0
4,7,239,0,0,0
4,8,236,0,0,0
4,9,237,0,0,0
4,10,235,0,0,0
4,11,231,0,0,0
4,12,234,0,0,0
4,13,238,0,0,0
4,14,229,0,0,0
4,15,0,0,0,0
4,0,235,0,0,0
4,1,236,0,0,0
4,2,238,0,0,0
4,3,235,0,0,0
4,4,231,0,0,0
4,5,237,0,0,0
4,6,236,0,0,0
4,7,236,0,0,0
4,8,233,0,0,0
4,9,236,0,0,0
4,10,232,0,0,0
4,11,228,0,0,0
4,12,232,0,0,0
4,13,235,0,0,0
4,14,226,0,0,0
