Channel,Amplitude,mean,std
87,400,-100.0,
87,500,-100.0,
87,600,-100.0,
88,100,-100.0,
88,200,-100.0,
88,300,-100.0,
88,400,-100.0,
88,500,-100.0,
88,600,-100.0,
89,100,-100.0,
89,200,-100.0,
89,300,-100.0,
89,400,-100.0,
89,500,-100.0,
89,600,-100.0,
90,100,-100.0,
90,200,-100.0,
90,300,-100.0,
90,400,-100.0,
90,500,-100.0,
90,600,-100.0,
91,100,-100.0,
91,200,-100.0,
91,300,-100.0,
91,400,-100.0,
91,500,-100.0,
91,600,-100.0,
92,100,-100.0,
92,200,-100.0,
92,300,-100.0,
92,400,-100.0,
92,500,-100.0,
92,600,-100.0,
93,100,-100.0,
93,200,-100.0,
93,300,-100.0,
93,400,-100.0,
93,500,-100.0,
93,600,-100.0,
94,100,-100.0,
94,200,-100.0,
94,300,-100.0,
94,400,-100.0,
94,500,-100.0,
94,600,-100.0,
95,100,-100.0,
95,200,-100.0,
95,300,-100.0,
95,400,-100.0,
95,500,-100.0,
95,600,-100.0,
96,100,-100.0,
96,200,-100.0,
96,300,-100.0,
96,400,-100.0,
96,500,-100.0,
96,600,-100.0,
97,100,-100.0,
97,200,-100.0,
97,300,-100.0,
97,400,-100.0,
97,500,-100.0,
97,600,-100.0,
98,100,-100.0,
98,200,-100.0,
98,300,-100.0,
98,400,-100.0,
98,500,-100.0,
98,600,-100.0,
99,100,-100.0,
99,200,-100.0,
99,300,-100.0,
99,400,-100.0,
99,500,-100.0,
99,600,-100.0,
100,100,-100.0,
100,200,-100.0,
100,300,-100.0,
100,400,-100.0,
100,500,-100.0,
100,600,-100.0,
101,100,-100.0,
101,200,-100.0,
101,300,-100.0,
101,400,-100.0,
101,500,-100.0,
101,600,-100.0,
102,100,-100.0,
102,200,-100.0,
102,300,-100.0,
102,400,-100.0,
102,500,-100.0,
102,600,-100.0,
103,100,-100.0,
103,200,-100.0,
103,300,-100.0,
103,400,-100.0,
103,500,-100.0,
103,600,-100.0,
104,100,-100.0,
104,200,-100.0,
104,300,-100.0,
104,400,-100.0,
104,500,-100.0,
104,600,-100.0,
105,100,-100.0,
105,200,-100.0,
105,300,-100.0,
105,400,-100.0,
105,500,-100.0,
105,600,-100.0,
106,100,-100.0,
106,200,-100.0,
106,300,-100.0,
106,400,-100.0,
106,500,-100.0,
