Channel,Time,Phase,ADC,TOT,ToA
15,114.0625,7,144,0,698
15,137.5,7,122,0,0
15,139.0625,7,122,0,0
15,162.5,7,113,0,0
15,164.0625,7,114,0,0
15,187.5,7,111,0,0
15,189.0625,7,111,0,0
15,212.5,7,109,0,0
15,214.0625,7,108,0,0
15,237.5,7,106,0,0
15,239.0625,7,107,0,0
16,12.5,7,100,0,0
16,14.0625,7,99,0,0
16,37.5,7,99,0,0
16,39.0625,7,100,0,0
16,62.5,7,99,0,0
16,64.0625,7,98,0,0
16,87.5,7,156,0,0
16,89.0625,7,166,0,0
16,112.5,7,143,0,768
16,114.0625,7,140,0,712
16,137.5,7,118,0,0
16,139.0625,7,116,0,0
16,162.5,7,109,0,0
16,164.0625,7,110,0,0
16,187.5,7,108,0,0
16,189.0625,7,106,0,0
16,212.5,7,104,0,0
16,214.0625,7,106,0,0
16,237.5,7,103,0,0
16,239.0625,7,104,0,0
17,12.5,7,117,0,0
17,14.0625,7,118,0,0
17,37.5,7,117,0,0
17,39.0625,7,119,0,0
17,62.5,7,118,0,0
17,64.0625,7,119,0,0
17,87.5,7,175,0,0
17,89.0625,7,187,0,0
17,112.5,7,162,0,768
17,114.0625,7,159,0,718
17,137.5,7,136,0,0
17,139.0625,7,136,0,0
17,162.5,7,129,0,0
17,164.0625,7,130,0,0
17,187.5,7,125,0,0
17,189.0625,7,127,0,0
17,212.5,7,125,0,0
17,214.0625,7,126,0,0
17,237.5,7,124,0,0
17,239.0625,7,124,0,0
18,12.5,7,100,0,0
18,14.0625,7,101,0,0
18,37.5,7,101,0,0
18,39.0625,7,101,0,0
18,62.5,7,100,0,0
18,64.0625,7,101,0,0
18,87.5,7,173,0,0
18,89.0625,7,182,0,0
18,112.5,7,140,0,699
18,114.0625,7,140,0,605
18,137.5,7,117,0,0
18,139.0625,7,116,0,0
18,162.5,7,110,0,0
18,164.0625,7,109,0,0
18,187.5,7,109,0,0
18,189.0625,7,109,0,0
18,212.5,7,105,0,0
18,214.0625,7,105,0,0
18,237.5,7,105,0,0
18,239.0625,7,105,0,0
19,12.5,7,121,0,0
19,14.0625,7,123,0,0
19,37.5,7,122,0,0
19,39.0625,7,123,0,0
19,62.5,7,123,0,0
19,64.0625,7,124,0,0
19,87.5,7,248,0,0
19,89.0625,7,261,0,0
19,112.5,7,178,0,674
19,114.0625,7,174,0,577
19,137.5,7,136,0,0
19,139.0625,7,136,0,0
19,162.5,7,126,0,0
19,164.0625,7,126,0,0
19,187.5,7,122,0,0
19,189.0625,7,123,0,0
19,212.5,7,123,0,0
19,214.0625,7,124,0,0
19,237.5,7,122,0,0
19,239.0625,7,124,0,0
20,12.5,7,101,0,0
20,14.0625,7,101,0,0
