FPGA,DAC,Condition,Channel,mean,std,Pedestal,mean_corr,std_corr
209,100,NoHV,106,320.4,5.5045435778091525,88.0,232.39999999999998,5.5045435778091525
209,100,NoHV,107,334.2,5.540758070878029,87.0,247.2,5.540758070878029
209,100,NoHV,108,288.6,2.8809720581775937,86.0,202.60000000000002,2.8809720581775937
209,100,NoHV,109,330.2,5.890670590009262,86.0,244.2,5.890670590009262
209,100,NoHV,110,348.6,6.841052550594827,86.0,262.6,6.841052550594827
209,100,NoHV,111,306.4,3.2863353450310004,85.0,221.39999999999998,3.2863353450310004
209,100,NoHV,112,341.6,2.302172886644273,84.0,257.6,2.302172886644273
209,100,NoHV,115,390.2,2.5884358211089546,84.0,306.2,2.5884358211089546
209,100,NoHV,116,339.6,2.0736441353327697,80.0,259.6,2.0736441353327697
209,100,NoHV,117,352.2,2.167948338867879,79.0,273.2,2.167948338867879
209,100,NoHV,118,397.0,2.8284271247461943,91.0,306.0,2.8284271247461943
209,100,NoHV,119,359.2,1.643167672515495,86.0,273.2,1.643167672515495
209,100,NoHV,120,338.4,2.1908902300206687,81.0,257.4,2.1908902300206687
209,100,NoHV,121,314.2,2.5884358211089493,80.0,234.2,2.5884358211089493
209,100,NoHV,122,316.8,1.7888543819998326,79.0,237.8,1.7888543819998326
209,100,NoHV,124,363.0,1.8708286933869707,82.0,281.0,1.8708286933869707
209,100,NoHV,125,354.2,2.949576240750527,82.0,272.2,2.949576240750527
209,100,NoHV,126,329.2,1.9235384061671408,79.0,250.2,1.9235384061671408
209,100,NoHV,127,352.6,1.8165902124584894,80.0,272.6,1.8165902124584894
209,100,NoHV,128,354.6,1.1401754250991336,83.0,271.6,1.1401754250991336
209,100,NoHV,129,363.4,1.5165750888103045,82.0,281.4,1.5165750888103045
209,100,NoHV,130,351.8,4.381780460041328,84.0,267.8,4.381780460041328
209,100,NoHV,131,362.4,3.577708763999658,83.0,279.4,3.577708763999658
209,100,NoHV,134,340.6,2.0736441353327715,81.0,259.6,2.0736441353327715
209,100,NoHV,135,349.0,1.8708286933869744,84.0,265.0,1.8708286933869744
209,100,NoHV,136,335.8,2.167948338867879,82.0,253.8,2.167948338867879
209,100,NoHV,137,349.0,1.870828693386966,82.0,267.0,1.870828693386966
209,100,NoHV,138,346.0,2.23606797749979,84.0,262.0,2.23606797749979
209,100,NoHV,139,338.4,1.5165750888103045,80.0,258.4,1.5165750888103045
209,100,NoHV,140,360.6,2.5099800796022316,84.0,276.6,2.5099800796022316
209,100,NoHV,141,341.6,1.8165902124584903,85.0,256.6,1.8165902124584903
209,100,NoHV,143,352.0,2.5495097567963922,83.0,269.0,2.5495097567963922
209,100,NoHV,144,331.8,2.1679483388678804,84.0,247.8,2.1679483388678804
209,100,NoHV,145,288.0,1.0,80.0,208.0,1.0
209,100,NoHV,146,273.0,2.915475947422652,62.0,211.0,2.915475947422652
209,100,NoHV,147,317.6,2.9664793948382706,81.0,236.60000000000002,2.9664793948382706
209,100,NoHV,148,340.2,2.774887385102321,82.0,258.2,2.774887385102321
209,100,NoHV,149,373.4,5.504543577809158,84.0,289.4,5.504543577809158
209,100,NoHV,150,311.8,3.8987177379235933,73.0,238.8,3.8987177379235933
209,200,HV,1,468.6,3.1304951684996984,81.0,387.6,3.1304951684996984
209,200,HV,2,466.0,2.1213203435596424,79.0,387.0,2.1213203435596424
209,200,HV,3,458.6,3.9749213828703547,79.0,379.6,3.9749213828703547
209,200,HV,4,457.4,3.286335345031,78.0,379.4,3.286335345031
209,200,HV,5,465.0,6.855654600401048,81.0,384.0,6.855654600401048
209,200,HV,6,471.4,7.733045971672485,79.0,392.4,7.733045971672485
209,200,HV,7,456.8,6.379655163094633,81.0,375.8,6.379655163094633
209,200,HV,8,457.8,4.54972526643093,79.0,378.8,4.54972526643093
209,200,HV,10,449.4,9.44986772394196,81.0,368.4,9.44986772394196
209,200,HV,11,485.8,9.203260291874832,95.0,390.8,9.203260291874832
209,200,HV,12,483.2,7.563068160475615,87.0,396.2,7.563068160475615
209,200,HV,13,447.8,5.718391382198321,78.0,369.8,5.718391382198321
209,200,HV,14,474.4,6.107372593840994,81.0,393.4,6.107372593840994
209,200,HV,15,440.6,5.7706152185013995,80.0,360.6,5.7706152185013995
209,200,HV,16,464.0,10.024968827881708,78.0,386.0,10.024968827881708
209,200,HV,17,451.6,4.3931765272977605,79.0,372.6,4.3931765272977605
209,200,HV,20,452.4,4.159326868617088,80.0,372.4,4.159326868617088
209,200,HV,21,449.6,6.5421708935184455,78.0,371.6,6.5421708935184455
209,200,HV,22,456.4,2.966479394838264,77.0,379.4,2.966479394838264
209,200,HV,23,457.2,1.3038404810405282,78.0,379.2,1.3038404810405282
209,200,HV,24,442.8,3.271085446759225,79.0,363.8,3.271085446759225
209,200,HV,25,450.8,6.797058187186567,79.0,371.8,6.797058187186567
209,200,HV,26,445.4,5.412947441089743,77.0,368.4,5.412947441089743
209,200,HV,27,451.4,4.159326868617089,79.0,372.4,4.159326868617089
209,200,HV,29,445.0,4.527692569068709,78.0,367.0,4.527692569068709
209,200,HV,30,437.6,6.655824516917498,79.0,358.6,6.655824516917498
209,200,HV,31,440.0,1.5811388300841898,81.0,359.0,1.5811388300841898
209,200,HV,32,455.2,2.3874672772626666,81.0,374.2,2.3874672772626666
209,200,HV,33,432.8,3.033150177620619,79.0,353.8,3.033150177620619
209,200,HV,34,988.4,3.361547262794323,79.0,909.4,3.361547262794323
209,200,HV,35,433.8,5.215361924162117,75.0,358.8,5.215361924162117
209,200,HV,36,442.0,2.915475947422656,77.0,365.0,2.915475947422656
209,200,HV,39,975.2,1.7888543819998366,81.0,894.2,1.7888543819998366
209,200,HV,40,943.2,2.280350850198267,79.0,864.2,2.280350850198267
209,200,HV,41,986.2,4.764451699828634,83.0,903.2,4.764451699828634
209,200,HV,42,446.0,2.549509756796391,82.0,364.0,2.549509756796391
209,200,HV,43,431.6,2.880972058177584,80.0,351.6,2.880972058177584
209,200,HV,44,441.6,2.607680962081062,77.0,364.6,2.607680962081062
209,200,HV,45,424.8,3.4928498393145957,79.0,345.8,3.4928498393145957
209,200,HV,46,439.4,2.5099800796022245,79.0,360.4,2.5099800796022245
209,200,HV,48,429.4,2.5099800796022262,80.0,349.4,2.5099800796022262
209,200,HV,49,422.6,2.7928480087537846,81.0,341.6,2.7928480087537846
209,200,HV,50,465.0,4.636809247747853,98.0,367.0,4.636809247747853
209,200,HV,51,443.8,3.033150177620618,77.0,366.8,3.033150177620618
209,200,HV,52,440.4,1.5165750888103116,81.0,359.4,1.5165750888103116
209,200,HV,53,426.2,3.4205262752974175,81.0,345.2,3.4205262752974175
